Total.Profit	Units.Sold	Item.Type
-0.8871735258807414	-1.5366870797446794	Baby Food
-0.9550984476501653	-1.1366205749325677	Beverages
-0.7475225165153547	-1.0878989251183997	Meat
0.14108429169595244	0.003877762970913829	Cereal
0.3078999529419426	0.10132106259924979	Baby Food
1.9067878912970533	0.5984877568297385	Household
0.11207603782976212	-0.5423536912837019	Office Supplies
0.3811364790608994	1.5046418213312713	Meat
1.8538298379999267	1.2702975479293226	Office Supplies
-0.12440538825720028	0.149013381783541	Vegetables
0.5647101736874196	-0.46549700425290164	Household
0.04336095615665997	0.8204800626731659	Snacks
-0.8467573873690999	-1.4612028335537148	Cereal
0.09591841943057193	0.9457152893081752	Snacks
-0.6082642107203136	-0.858015084445917	Vegetables
1.2428809842370252	1.3828376967958513	Baby Food
-0.3692596419969112	-1.2302896622513555	Cosmetics
0.6741370313984224	-0.4418223997657355	Cosmetics
-1.0223880137960684	-1.7199079318627477	Vegetables
0.059322666710077264	-0.23938737588996714	Baby Food
-0.9762740436569705	-1.4687512581728113	Personal Care
-0.47621279102935826	-0.5831838062688145	Vegetables
1.6319670752112365	0.3806127735058184	Household
-0.8929385751561608	-0.615093055794995	Beverages
0.4069325963419866	1.2548575884811708	Vegetables
1.135105006583883	0.5223172902188562	Office Supplies
-0.8779722289655104	-1.4193433879387256	Vegetables
-0.6473631026901698	0.2557206570807681	Personal Care
-0.23980521556727533	0.07833267853200152	Meat
-0.4636835676878943	-0.5571074303119359	Vegetables
0.3863783588105641	-0.2568859965978726	Office Supplies
-0.14178282155693633	-1.0583914470619318	Cosmetics
-0.9097031892854422	-1.567566998640983	Baby Food
-0.12473071749508863	-0.3903558682718961	Cereal
-0.11791125991671386	0.43619662751916494	Snacks
-0.26840804830501663	-1.1259841584238408	Household
-0.4063293391979353	-0.25105312302857075	Snacks
2.442580285492708	1.0232581967588934	Household
-0.5702725558420021	0.6599044844123869	Personal Care
-0.813316685849696	0.05294252299504074	Beverages
0.6688752266039263	0.596085985360026	Baby Food
1.5926711786041488	0.2522895549811788	Cosmetics
0.17136310012469014	0.4149237945017113	Clothes
-0.503904607890316	-0.9527135023945815	Cereal
-0.5103277842690634	0.9741934367347662	Personal Care
0.04280765097987576	0.7274971957742961	Meat
-0.9991808205248551	-0.2990885524228209	Fruits
-0.34150065971615506	-0.7118501350034131	Cereal
0.11062278914710964	0.8832692310956499	Meat
-0.08663679987030332	-0.9818778702410905	Household
-0.8611007560112621	-1.4824756665711685	Cereal
-0.7272334413760912	0.7751895149585872	Beverages
0.12015735398126258	0.32331336844267716	Clothes
-0.6704687382951326	-1.4447335434756863	Household
-0.9882616087023773	0.29620766185592173	Fruits
1.2502474534983383	0.07798956832204258	Household
-0.5352320272957278	-0.7060172614341113	Vegetables
-0.8222238337413619	-0.6610698239294915	Personal Care
0.837037799989249	1.6058593332691555	Clothes
-0.9821946806350178	0.6269659042563297	Fruits
0.39357908199121605	1.2270656614744975	Vegetables
0.46166551935996064	1.3687701781875352	Vegetables
-0.09009910936429778	-0.984622751920762	Household
-0.1203943174367501	-1.008640466617887	Household
0.21804643560121614	-0.7403282824300043	Household
-0.674929180244623	1.214027473496058	Beverages
-0.892734101891378	-0.6133775047452004	Beverages
-0.9862601732030807	-1.398070554921272	Beverages
-0.07379392028576055	0.25434821624093235	Vegetables
-0.44773807397961496	-1.124954827793964	Office Supplies
-0.8317783497344285	-0.7111639145834953	Personal Care
-0.22605967661230003	-0.5406381402339073	Cereal
0.17860398676399294	0.7796499476880533	Vegetables
0.6174476152168724	1.2129981428661814	Clothes
-0.8301255372344746	-1.2776388712256876	Meat
1.1923144063731415	1.5629705570242893	Cereal
0.4068711760203049	0.8362631323312766	Clothes
-0.6567310596789441	1.3667115169277817	Beverages
0.16805893751339368	1.117613504497599	Snacks
-0.6429904562855325	1.481996547473982	Beverages
-0.0895364292319508	0.42350154975068455	Meat
-0.8987865105289521	-0.6641578158191219	Beverages
-0.4426531398648604	-0.38761098659222465	Meat
0.1635150610708022	-0.7835601688848293	Household
-0.7834822346461875	-0.4579485796338052	Personal Care
-0.909009076976639	-1.4488508659951935	Snacks
-0.4921349387480187	1.0695780751033488	Personal Care
3.4138478787732884	1.6285046071264448	Cosmetics
1.2323370317778848	1.622328623347184	Cereal
-0.8843936295866585	-0.9870245233904744	Personal Care
-0.9833566528431634	-1.3737097300141878	Beverages
-0.9965610296696461	-1.5751154232600795	Personal Care
-0.8432106771609573	-0.19787104048493667	Beverages
2.2133514451539402	0.7213212119950353	Cosmetics
0.07392780291369351	-0.8545839823463277	Household
-0.8317192796801578	-0.10145707148647752	Beverages
0.7751999924728394	0.9443428484683394	Cereal
-0.6493918012914374	0.24508424057204123	Personal Care
-0.5104212726838684	-0.8048330019022829	Clothes
-0.3584774246504296	-0.8120383163114204	Baby Food
-0.38768968172792045	1.6171819701978	Personal Care
-0.6986071843064839	1.015366661929838	Beverages
-1.0161543734270009	-1.2244567886820537	Fruits
0.0322870706244363	-0.2764432785655315	Baby Food
