,Total.Profit,Order.Lag,OrderDaysSince2000,Units.Sold,Region_Asia,Region_Australia.and.Oceania,Region_Europe,Region_Middle.East.and.North.Africa,Region_North.America,Region_Sub.Saharan.Africa,Sales.Channel_Offline,Order.Priority_C,Order.Priority_H,Order.Priority_L,Item.Type
1,-0.887173526,-0.208750707,0.073313653,-1.53668708,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,-1.001501117,-0.553883122,-0.58591391,-0.570210808,Baby Food
2,-0.713322522,-0.27728794,-1.520976485,-0.982564091,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,1.805073958,-0.58591391,-0.570210808,Snacks
3,-0.82996081,-0.551436875,-0.979043869,-0.086703332,-0.409777773,-0.301218004,1.660977609,-0.372725601,-0.147155845,-0.588069589,0.998301433,1.805073958,-0.58591391,-0.570210808,Beverages
4,1.060447953,0.545158865,-1.57264913,1.367397737,2.439859033,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,1.753386617,Cereal
5,0.060640122,-1.236809213,0.781606979,0.861653288,2.439859033,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,1.805073958,-0.58591391,-0.570210808,Snacks
6,-1.022214251,-0.757048577,-1.370999784,-1.709614626,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,1.753386617,Personal Care
7,0.558378814,1.230531203,-1.158007663,1.107320198,-0.409777773,3.319190703,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,-0.553883122,1.706394033,-0.570210808,Clothes
8,-0.847573714,-0.27728794,-0.012387319,-1.408020751,-0.409777773,-0.301218004,1.660977609,-0.372725601,-0.147155845,-0.588069589,-1.001501117,-0.553883122,-0.58591391,-0.570210808,Clothes
9,0.670187616,0.956382268,1.331101445,1.307353451,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,-0.570210808,Clothes
10,1.432130157,-0.071676239,0.679521997,1.642229016,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,1.700138928,-1.001501117,-0.553883122,-0.58591391,-0.570210808,Baby Food
11,0.195817371,-0.345825174,-0.037593487,-0.455203698,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,1.805073958,-0.58591391,-0.570210808,Office Supplies
12,2.326408787,-1.373883681,-0.227900057,0.806755654,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,-1.001501117,-0.553883122,-0.58591391,-0.570210808,Cosmetics
13,1.233031066,-0.003139005,1.2794288,1.623357954,2.439859033,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,1.753386617,Cereal
14,2.055797639,-1.031197512,0.767743586,0.602261969,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,-0.553883122,1.706394033,-0.570210808,Cosmetics
15,0.583763165,-1.373883681,-1.357136392,0.479428514,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,-1.001501117,-0.553883122,-0.58591391,1.753386617,Baby Food
16,-0.47372263,1.36760567,1.018544959,-0.45897791,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,-0.553883122,1.706394033,-0.570210808,Meat
17,0.273876124,-0.071676239,0.373267054,0.200823023,-0.409777773,-0.301218004,1.660977609,-0.372725601,-0.147155845,-0.588069589,0.998301433,1.805073958,-0.58591391,-0.570210808,Cereal
18,1.040483893,0.27100993,-1.362177626,0.42384466,-0.409777773,-0.301218004,1.660977609,-0.372725601,-0.147155845,-0.588069589,-1.001501117,-0.553883122,-0.58591391,1.753386617,Office Supplies
19,-0.954116976,-1.236809213,1.540312641,-1.12838593,-0.409777773,-0.301218004,-0.601934665,-0.372725601,6.79415759,-0.588069589,-1.001501117,1.805073958,-0.58591391,-0.570210808,Beverages
20,0.269349196,1.436142904,-0.208995431,0.04848209,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,1.805073958,-0.58591391,-0.570210808,Baby Food
21,-0.955098448,1.299068436,-1.703721205,-1.136620575,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,1.753386617,Beverages
22,-0.131178154,0.956382268,0.881171343,-0.500494246,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,-0.570210808,Baby Food
23,-0.994152319,0.613696099,1.365129772,-0.024943495,-0.409777773,-0.301218004,1.660977609,-0.372725601,-0.147155845,-0.588069589,-1.001501117,-0.553883122,-0.58591391,1.753386617,Fruits
24,-0.733694797,-0.619974109,-0.738324963,0.720978102,-0.409777773,3.319190703,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,1.753386617,Beverages
25,-0.538946938,1.093456735,1.637356388,-0.567057626,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,1.753386617,Snacks
26,-0.09650667,1.641754605,0.211947578,-0.348496423,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,-1.001501117,-0.553883122,1.706394033,-0.570210808,Cereal
27,-1.016607505,1.161993969,1.221454613,-1.249160724,-0.409777773,-0.301218004,1.660977609,-0.372725601,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,1.753386617,Fruits
28,0.585181603,-0.688511343,-0.821505318,-0.04999054,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,-0.588069589,-1.001501117,-0.553883122,-0.58591391,-0.570210808,Office Supplies
29,0.454092435,-0.003139005,-0.374095833,0.301697425,-0.409777773,-0.301218004,-0.601934665,-0.372725601,-0.147155845,1.700138928,-1.001501117,-0.553883122,-0.58591391,-0.570210808,Baby Food
30,-0.606767665,-0.757048577,-0.268229926,-0.728662535,-0.409777773,3.319190703,-0.601934665,-0.372725601,-0.147155845,-0.588069589,-1.001501117,1.805073958,-0.58591391,-0.570210808,Snacks
31,1.85783378,1.093456735,0.794210063,0.452665918,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,0.998301433,-0.553883122,1.706394033,-0.570210808,Cosmetics
32,-0.307324324,-1.71656985,-0.840409944,-0.44147929,-0.409777773,3.319190703,-0.601934665,-0.372725601,-0.147155845,-0.588069589,0.998301433,-0.553883122,-0.58591391,-0.570210808,Clothes
33,-0.138172759,-1.579495382,-1.087430392,-0.138856084,-0.409777773,-0.301218004,-0.601934665,2.682402275,-0.147155845,-0.588069589,-1.001501117,-0.553883122,1.706394033,-0.570210808,Clothes
